archivo_original,archivo_procesado,estado,duracion_original,duracion_procesada,observacion
..\dataset_original\audios_prueba_nuevos\base\seguro\Base_seguro_p5_018.m4a,..\dataset_procesado\audios_prueba_nuevos\base\seguro\Base_seguro_p5_018.wav,OK,1.770667,1.726688,
..\dataset_original\audios_prueba_nuevos\base\seguro\Base_seguro_p5_019.m4a,..\dataset_procesado\audios_prueba_nuevos\base\seguro\Base_seguro_p5_019.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\seguro\Base_seguro_p5_020.m4a,..\dataset_procesado\audios_prueba_nuevos\base\seguro\Base_seguro_p5_020.wav,OK,1.6,1.556,
..\dataset_original\audios_prueba_nuevos\base\seguro\Base_seguro_p5_021.m4a,..\dataset_procesado\audios_prueba_nuevos\base\seguro\Base_seguro_p5_021.wav,OK,1.6,1.556,
..\dataset_original\audios_prueba_nuevos\base\seguro\Base_seguro_p5_022.m4a,..\dataset_procesado\audios_prueba_nuevos\base\seguro\Base_seguro_p5_022.wav,OK,1.685333,1.641375,
..\dataset_original\audios_prueba_nuevos\base\seguro\Base_seguro_p5_023.m4a,..\dataset_procesado\audios_prueba_nuevos\base\seguro\Base_seguro_p5_023.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\seguro\Base_seguro_p5_024.m4a,..\dataset_procesado\audios_prueba_nuevos\base\seguro\Base_seguro_p5_024.wav,OK,1.685333,1.641375,
..\dataset_original\audios_prueba_nuevos\base\seguro\Base_seguro_p5_025.m4a,..\dataset_procesado\audios_prueba_nuevos\base\seguro\Base_seguro_p5_025.wav,OK,1.514667,1.470688,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_001.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_001.wav,OK,1.6,1.556,
..\dataset_original\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_002.m4a,..\dataset_procesado\audios_prueba_nuevos\base\ventilador\Base_ventilador_p5_002.wav,OK,1.941333,1.897375,
